LK_EXPERIMENT_EXPERIMENT_ID;SPECIES;SPECIES_SPECIFICITY;YEAR;ML_TRIAL;SL_TRIAL;ORIGIN;RESPONSIBILITY;TEAM;CULTURE_PLACE;CULTURE_UNIT;COUNTRY;REGION;DEPARTMENT;COMMUNE;CULTURE_UNIT_LATITUDE;CULTURE_UNIT_LONGITUDE;CULTURE_PLACE_LATITUDE;CULTURE_PLACE_LONGITUDE;LATITUDE;LONGITUDE;TRANSFER_APPY;SPECIES_GROUP;MATERIAL_NB;REPLICATION_NB;SL_TRIAL_HASH;DESIGN;DESIGN_TYPE;SPECIES_ID;SPECIES_SPECIFICITY_ID;FIABILITY_SYSTEM;FIABILITY_EXPERIMENTAL;FIABILITY_BREEDER;FIABILITY_EXPERIMENTAL_REASON;FIABILITY_BREEDER_REASON
21660;S;-;2018;SG_EA;SG_EA_08;RC;GAIL;;AUZEVILLE-TOLOSANE;18GAUZ_ESS;FRANCE;MIDI-PYRÉNÉES;HAUTE-GARONNE;;43.52779;1.49875;43.52919;1.48365;43.52779;1.49875;1;7;0;1;;;;11;24;;;;;
41785;S;-;2016;SG_04;SG_04_05;RC;GAIL;;ST MAURICE;16GSMG_ESS;FRANCE;RHÔNE-ALPES;AIN;;;;46.09682;4.81896;46.09682;4.81896;0;7;16;4;;;;11;24;;;;;
42786;B;-;2016;B2_04;B2_04_04;RC;LOUV;LOUV;DESTINATION 1;16LDESfroid;FRANCE;;;;;;;;;;0;7;15;1;;;;6;12;;;;;
42760;B;-;2016;B2_07;B2_07_04;RC;LOUV;LOUV;DESTINATION 1;16LDESfroid;FRANCE;;;;;;;;;;0;7;21;1;;;;6;12;;;;;
20276;B;-;2018;B5_07;B5_07_02;RC;LOUV;LOUV;DESTINATION 1;18LTAL;FRANCE;;;;;;;;;;0;7;24;1;;;;6;12;;;;;
20273;B;-;2018;B5_06;B5_06_02;RC;LOUV;LOUV;DESTINATION 1;18LTAL;FRANCE;;;;;;;;;;0;7;24;1;;;;6;12;;;;;
20280;B;-;2018;B5_09;B5_09_02;RC;LOUV;LOUV;DESTINATION 1;18LTAL;FRANCE;;;;;;;;;;0;7;15;1;;;;6;12;;;;;
22796;B;-;2018;B1_51;B1_51_02;RC;LOUV;LOUV;DESTINATION 1;18LTALCS;FRANCE;;;;;;;;;;0;7;36;1;;;;6;12;;;;;
22824;B;-;2018;B1_08;B1_08_02;RC;LOUV;LOUV;DESTINATION 1;18LTALCS;FRANCE;;;;;;;;;;0;7;36;1;;;;6;12;;;;;
22829;B;-;2018;B1_59;B1_59_02;RC;LOUV;LOUV;DESTINATION 1;18LTALCS;FRANCE;;;;;;;;;;0;7;36;1;;;;6;12;;;;;
