LK_SL_TRIAL_L4_DATA_ID;LK_EXPERIMENT_EXPERIMENT_ID;YEAR;SPECIES_GROUP;SPECIES;SPECIES_SPECIFICITY;ORIGIN;SL_TRIAL;REPLICATION_NUM;ENTRY_NUM;LK_STOCK_S1_DATA_ID;STATUS;CULTURE_UNIT_X;CULTURE_UNIT_Y;CULTURE_UNIT_ROUTE_NUM;DESIGN_PLOT_CODE;DESIGN_X;DESIGN_Y;TRANSFER_APPY;SPECIES_ID;SPECIES_SPECIFICITY_ID;PLOT_DEFINITION_HASH
924027;44126;2016;7;T;-;RC;TD_TU_04;2;24;339;;33;23;;209;9;1;0;12;25;
924084;44181;2016;7;T;-;RC;TD_TV_05;1;10;339;;29;12;;105;5;1;0;12;25;
821285;58671;2015;7;T;-;RC;TD_TA_58;2;1;339;;17;2;;201;1;1;1;12;25;
827821;58680;2015;7;T;-;RC;TD_TB_07;1;25;339;;25;1;;124;24;1;1;12;25;
827827;58680;2015;7;T;-;RC;TD_TB_07;2;25;339;;3;2;;202;2;1;1;12;25;
827835;58685;2015;7;T;-;RC;TD_TB_08;2;25;339;;34;10;;202;2;1;1;12;25;
828529;58683;2015;7;T;-;RC;TD_TB_51;1;25;339;;24;4;;124;24;1;1;12;25;
828523;58683;2015;7;T;-;RC;TD_TB_51;2;25;339;;2;5;;202;2;1;1;12;25;
822740;58611;2015;7;T;-;RC;TD_TA_08;1;21;339;;15;8;;114;14;1;1;12;25;
822976;58619;2015;7;T;-;RC;TD_TA_50;2;21;339;;16;6;;215;15;1;1;12;25;
822979;58619;2015;7;T;-;RC;TD_TA_50;3;21;339;;11;7;;310;10;1;1;12;25;
821280;58671;2015;7;T;-;RC;TD_TA_58;1;1;339;;22;1;;106;6;1;1;12;25;
822970;58619;2015;7;T;-;RC;TD_TA_50;1;19;341;;3;5;;102;2;1;1;12;25;
822975;58619;2015;7;T;-;RC;TD_TA_50;2;19;341;;4;6;;203;3;1;1;12;25;
822974;58619;2015;7;T;-;RC;TD_TA_50;3;19;341;;2;7;;301;1;1;1;12;25;
821271;58671;2015;7;T;-;RC;TD_TA_58;1;2;341;;24;1;;108;8;1;1;12;25;
821277;58671;2015;7;T;-;RC;TD_TA_58;2;2;341;;18;2;;202;2;1;1;12;25;
822757;58611;2015;7;T;-;RC;TD_TA_08;2;19;341;;13;9;;212;12;1;1;12;25;
822758;58611;2015;7;T;-;RC;TD_TA_08;3;19;341;;23;10;;322;22;1;1;12;25;
5125571;24866;2018;7;T;-;RC;43005_08;1;1;386;T;47;3;;118;18;1;0;12;25;
5125577;24866;2018;7;T;-;RC;43005_08;2;1;386;T;47;4;;218;18;1;0;12;25;
5125536;24647;2018;7;T;-;RC;59005_08;2;1;386;T;18;4;;217;17;1;0;12;25;
5120524;22900;2018;7;T;-;RC;59505_04;1;1;386;T;25;7;;101;1;1;0;12;25;
5088243;46003;2017;7;T;-;RC;TD_TA_06;2;35;386;;21;18;742;221;21;1;1;12;25;
5540551;49738;2017;7;T;-;RC;TD_5401_05;2;2;386;T;16;4;;215;15;1;1;12;25;
5540656;49800;2017;7;T;-;RC;TD_5407_05;1;2;386;T;3;5;;102;2;1;1;12;25;
5545435;49855;2017;7;T;-;RC;TD_5405_02;1;1;386;T;2;1;;101;1;1;1;12;25;
5545293;49854;2017;7;T;-;RC;TD_5405_01;1;1;386;T;17;5;;129;1;5;1;12;25;
5545196;49852;2017;7;T;-;RC;TD_5405_07;1;1;386;T;2;1;;101;1;1;1;12;25;
5088249;46003;2017;7;T;-;RC;TD_TA_06;1;35;386;;39;17;867;139;39;1;1;12;25;
382112;42389;2016;7;T;-;RC;D4_2_04;1;2;386;T;30;5;;102;2;1;1;12;25;
384655;42370;2016;7;T;-;RC;D2_4_05;1;2;386;T;3;5;;102;2;1;1;12;25;
384654;42370;2016;7;T;-;RC;D2_4_05;2;2;386;T;24;6;;223;23;1;1;12;25;
382085;42376;2016;7;T;-;RC;D2_4_09;1;2;386;T;20;9;;114;14;1;1;12;25;
382566;42381;2016;7;T;-;RC;D4_5_04;1;2;386;T;30;1;;102;2;1;1;12;25;
382569;42381;2016;7;T;-;RC;D4_5_04;2;2;386;T;56;2;;228;28;1;1;12;25;
382555;42092;2016;7;T;-;RC;D4_5_05;1;2;386;T;29;1;;102;2;1;1;12;25;
382554;42092;2016;7;T;-;RC;D4_5_05;2;2;386;T;41;2;;214;14;1;1;12;25;
817132;56053;2015;7;T;-;RC;TD_D4_4_05;1;2;386;T;40;3;;102;2;1;1;12;25;
817713;56040;2015;7;T;-;RC;TD_D4_4_04;1;2;386;T;3;7;;102;2;1;1;12;25;
817770;56040;2015;7;T;-;RC;TD_D4_4_04;2;2;386;T;29;8;;228;28;1;1;12;25;
817045;56050;2015;7;T;-;RC;TD_D2_01;1;2;386;T;11;3;;110;10;1;1;12;25;
817044;56050;2015;7;T;-;RC;TD_D2_01;2;2;386;T;18;4;;217;17;1;1;12;25;
817032;56055;2015;7;T;-;RC;TD_D2_07;1;2;386;T;2;1;;102;2;1;1;12;25;
817031;56055;2015;7;T;-;RC;TD_D2_07;2;2;386;T;3;2;;203;3;1;1;12;25;
817588;56054;2015;7;T;-;RC;TD_D2_08;2;2;386;T;28;4;;228;28;1;1;12;25;
5469931;25751;2018;7;T;-;RC;TA_55;2;28;422;;44;9;;208;8;1;1;12;25;
5469937;25751;2018;7;T;-;RC;TA_55;3;28;422;;52;11;;325;7;3;1;12;25;
5463248;25759;2018;7;T;-;RC;TA_57;2;28;422;;11;2;;211;11;1;1;12;25;
5083558;46024;2017;7;T;-;RC;TD_TB_52;1;29;422;;146;8;;129;29;1;1;12;25;
5083230;46028;2017;7;T;-;RC;TD_TC_05;1;33;422;;15;2;;123;14;2;1;12;25;
5466951;25701;2018;7;T;-;RC;TA_05;2;28;422;;8;3;;208;8;1;1;12;25;
5469529;25706;2018;7;T;-;RC;TA_01;2;28;422;;8;5;;208;8;1;0;12;25;
5469698;25752;2018;7;T;-;RC;TA_50;2;28;422;;36;2;;236;36;1;1;12;25;
