DB_SOURCE;SPECIES_GROUP;POWER_TYPREC;POWER_SSESPECE;LK_NAME;LK_SHORT_NAME;GEVES_NAME;LATIN_NAME;COMMON_NAME_EN;COMMON_NAME_FR;SPECIFICITIES_NAME;SPECIES_SPECIFICITY;TRAIT;TRAIT_DESCRIPTION;LK_CODE;GEVES_CODE;TYPE;STATISTICAL_CATEGORY;MIN;MAX;R2N_USE;SDT_USE;SPECIES_ID;SPECIES_SPECIFICITY_ID
LK_H0;R1;;0;Maize;;;;Maize;Maïs;-;-;VER;;C0637;;;;1.0;10.0;1;;1;1
LK_H0;R1;1;0;Maize;;;;Maize;Maïs;GRAIN;G;PTT;;C0648;;;;0.0;0.0;1;;1;2
LK_H0;R1;1;0;Maize;;;;Maize;Maïs;GRAIN;G;VER;;C0637;;;;0.0;0.0;1;;1;2
LK_H0;R1;1;0;Maize;;;;Maize;Maïs;SILAGE;E;DT;;C0114;;;;0.0;0.0;1;1;1;3
LK_CRISP;R7;7;S;Soybean;S;;;Soybean;Soja;-;-;%MOIS;;C2044;;AGRO;;3.0;32.0;1;;11;24
LK_CRISP;R7;7;S;Soybean;S;;;Soybean;Soja;-;-;SR1;;C3096;;DISEASE;;0.0;0.0;0;;11;24
LK_CRISP;R7;7;S;Soybean;S;;;Soybean;Soja;-;-;YD16QH;;C2097;;AGRO;;13.0;85.0;0;;11;24
LK_CRISP;R7;7;S;Soybean;S;;;Soybean;Soja;-;-;SHATT;;C2033;;AGRO;;2.0;16.0;1;;11;24
LK_CRISP;R7;7;S;Soybean;S;;;Soybean;Soja;-;-;%MOIS;;C2044;;AGRO;;8.0;30.0;1;;;24
LK_CRISP;R7;7;S;Soybean;S;;;Soybean;Soja;-;-;%MOIS;;C2044;;AGRO;;5.0;35.0;1;;11;
