YEAR;SPECIES;SPECIES_SPECIFICITY;ORIGIN;SL_TRIAL;TRANSFER_APPY;SL_TRIAL_HASH;QUALIFICATION;RESULT;SPECIES_ID;SPECIES_SPECIFICITY_ID
2017;O;H;RC;OR_G7_05;0;;SOWING_DATE;26/09/2016;8;80
2015;W;-;RC;WL_06_05;1;;FHB_INO;NO;13;26
2015;W;-;RC;WL_06_05;1;;FGD;N;13;26
2015;W;-;RC;WL_06_05;1;;HARVEST_DATE;30/07/2015;13;26
2015;W;-;RC;WL_06_05;1;;SPRAY;N;13;26
2015;W;-;RC;WL_06_05;1;;PHOSPHATE;N;13;26
2015;W;-;RC;WL_06_05;1;;SOWING_DATE;29/09/2014;13;26
2015;W;-;RC;WL_54_05;1;;FHB_INO;NO;13;26
2015;W;-;RC;WL_54_05;1;;FGD;N;13;26
2015;W;-;RC;WL_54_05;1;;HARVEST_DATE;30/07/2015;13;26
2015;W;-;RC;WL_54_05;1;;SPRAY;N;13;26
2015;W;-;RC;WL_54_05;1;;PHOSPHATE;N;13;26
2015;W;-;RC;WL_54_05;1;;SOWING_DATE;29/09/2014;13;26
2015;W;-;RC;WL_57_05;1;;FHB_INO;NO;13;26
2015;W;-;RC;WL_57_05;1;;FGD;N;13;26
2015;W;-;RC;WL_57_05;1;;HARVEST_DATE;30/07/2015;13;26
2015;W;-;RC;WL_57_05;1;;SPRAY;N;13;26
2015;W;-;RC;WL_57_05;1;;PHOSPHATE;N;13;26
2015;W;-;RC;WL_57_05;1;;SOWING_DATE;29/09/2014;13;26
2015;W;-;RC;WL_06_04;1;;FHB_INO;NO;13;26
2015;W;-;RC;WL_06_04;1;;FGD;Y;13;26
2015;W;-;RC;WL_06_04;1;;HARVEST_DATE;30/07/2015;13;26
2015;W;-;RC;WL_06_04;1;;SPRAY;N;13;26
2015;W;-;RC;WL_06_04;1;;PHOSPHATE;N;13;26
2015;W;-;RC;WL_06_04;1;;SOWING_DATE;29/09/2014;13;26
2015;W;-;RC;WL_04_04;1;;FHB_INO;NO;13;26
2015;W;-;RC;WL_04_04;1;;FGD;Y;13;26
2015;W;-;RC;WL_04_04;1;;HARVEST_DATE;30/07/2015;13;26
2015;W;-;RC;WL_04_04;1;;SPRAY;N;13;26
2015;W;-;RC;WL_04_04;1;;PHOSPHATE;N;13;26
2015;W;-;RC;WL_04_04;1;;SOWING_DATE;29/09/2014;13;26
2015;W;-;RC;WL_52_02;1;;FHB_INO;NO;13;26
2015;W;-;RC;WL_52_02;1;;FGD;Y;13;26
2015;W;-;RC;WL_52_02;1;;HARVEST_DATE;16/07/2015;13;26
2015;W;-;RC;WL_52_02;1;;SPRAY;N;13;26
2015;W;-;RC;WL_52_02;1;;PHOSPHATE;N;13;26
2015;W;-;RC;WL_52_02;1;;SOWING_DATE;29/09/2014;13;26
2015;W;-;RC;WL_57_02;1;;FHB_INO;NO;13;26
2015;W;-;RC;WL_57_02;1;;FGD;Y;13;26
2015;W;-;RC;WL_57_02;1;;HARVEST_DATE;16/07/2015;13;26
2015;W;-;RC;WL_57_02;1;;SPRAY;N;13;26
2015;W;-;RC;WL_57_02;1;;PHOSPHATE;N;13;26
2015;W;-;RC;WL_57_02;1;;SOWING_DATE;29/09/2014;13;26
2015;W;-;RC;WL_58_02;1;;FHB_INO;NO;13;26
2015;W;-;RC;WL_58_02;1;;FGD;Y;13;26
2015;W;-;RC;WL_58_02;1;;HARVEST_DATE;16/07/2015;13;26
2015;W;-;RC;WL_58_02;1;;SPRAY;N;13;26
2015;W;-;RC;WL_58_02;1;;PHOSPHATE;N;13;26
2015;W;-;RC;WL_58_02;1;;SOWING_DATE;29/09/2014;13;26
2015;W;-;RC;WL_79_05;0;;FHB_INO;NO;13;26
2015;W;-;RC;WL_79_05;0;;FGD;Y;13;26
2015;W;-;RC;WL_79_05;0;;HARVEST_DATE;20/07/2015;13;26
