YEAR;ESPECE_FR;TRAIT;count;mean;std
2015;Blé dur/Orge;%MOIS;716;14.8762;1.1507
2015;Blé dur/Orge;YD15QH;1549;53.5121;11.4288
2015;Blé dur/Orge;YD16QH;716;60.7468;11.3258
2015;Blé tendre;%MOIS;2514;16.822;1.3822
2015;Blé tendre;YD15QH;6155;99.6781;21.9116
2015;Blé tendre;YD16QH;2514;107.3571;18.4184
2015;Colza;%MOIS;1347;15.0267;1.8747
2015;Colza;YD15QH;3613;84.1389;56.1839
2015;Colza;YD16QH;1210;80.365;20.415
2015;INCONNU_CODE_A;%MOIS;91;13.8136;3.472
2015;INCONNU_CODE_A;YD15QH;484;76.8018;15.0716
2015;INCONNU_CODE_A;YD16QH;91;75.168;7.9711
2015;INCONNU_CODE_D;%MOIS;129;13.9136;0.9187
2015;INCONNU_CODE_D;YD15QH;1510;72.1503;13.3894
2015;INCONNU_CODE_D;YD16QH;129;79.1129;17.4668
2015;INCONNU_CODE_F;%MOIS;67;15.1101;2.7958
2015;INCONNU_CODE_F;YD15QH;257;31.4489;12.007
2015;INCONNU_CODE_F;YD16QH;67;44.904;8.8014
2015;Soja;%MOIS;706;15.156;4.4369
2015;Soja;YD16QH;700;47.9241;11.9763
2015;Triticale;%MOIS;932;14.6265;2.4638
2015;Triticale;YD15QH;1171;83.5893;23.75
2015;Triticale;YD16QH;758;84.569;21.8909
2016;Blé dur/Orge;%MOIS;847;15.0164;2.5866
2016;Blé dur/Orge;YD15QH;2177;37.2953;17.8936
2016;Blé dur/Orge;YD16QH;847;53.9141;16.0923
2016;Blé tendre;%MOIS;4721;17.1304;2.7928
2016;Blé tendre;YD15QH;5517;78.9198;29.2365
2016;Blé tendre;YD16QH;2211;103.2273;22.8288
2016;Colza;%MOIS;876;15.2112;1.097
2016;Colza;YD15QH;3023;63.2379;16.1413
2016;Colza;YD16QH;699;59.5757;11.7899
2016;INCONNU_CODE_A;%MOIS;364;16.7205;2.2667
2016;INCONNU_CODE_A;YD15QH;792;67.0668;12.6499
2016;INCONNU_CODE_A;YD16QH;364;72.337;7.7752
2016;INCONNU_CODE_D;%MOIS;104;14.8217;0.5389
2016;INCONNU_CODE_D;YD15QH;1099;61.7245;22.3112
2016;INCONNU_CODE_D;YD16QH;104;63.8113;18.2471
2016;Soja;%MOIS;716;14.1369;4.0515
2016;Soja;YD16QH;548;43.2837;9.7692
2016;Triticale;%MOIS;706;16.8485;1.3129
2016;Triticale;YD15QH;1208;79.2315;21.923
2016;Triticale;YD16QH;688;88.4214;21.761
2017;Blé dur/Orge;%MOIS;1238;15.0078;2.3943
2017;Blé dur/Orge;YD15QH;1931;50.5956;12.2534
2017;Blé dur/Orge;YD16QH;1238;51.7302;11.1371
2017;Blé tendre;%MOIS;6139;16.9117;1.9546
2017;Blé tendre;YD15QH;6349;95.7737;16.0767
2017;Blé tendre;YD16QH;3150;96.2446;16.4911
2017;Colza;%MOIS;450;14.86;1.474
2017;Colza;YD15QH;2498;71.2711;17.2045
2017;Colza;YD16QH;227;82.5807;12.0244
2017;INCONNU_CODE_A;%MOIS;215;18.2619;3.1511
2017;INCONNU_CODE_A;YD15QH;972;79.0738;25.0625
2017;INCONNU_CODE_A;YD16QH;215;80.1133;31.152
2017;INCONNU_CODE_D;%MOIS;412;14.1594;1.5054
2017;INCONNU_CODE_D;YD15QH;1236;71.1189;15.1095
2017;INCONNU_CODE_D;YD16QH;292;77.29;10.6077
2017;INCONNU_CODE_F;%MOIS;160;16.7519;2.1978
2017;INCONNU_CODE_F;YD15QH;160;33.9558;7.1151
2017;INCONNU_CODE_F;YD16QH;160;34.3333;7.1991
2017;Soja;%MOIS;835;15.4899;3.5329
2017;Soja;YD16QH;759;45.1967;10.6989
2017;Triticale;%MOIS;739;15.6116;1.2698
2017;Triticale;YD15QH;1261;79.7053;18.5846
2017;Triticale;YD16QH;739;88.9957;13.771
2018;Blé dur/Orge;%MOIS;777;13.3083;1.93
2018;Blé dur/Orge;YD15QH;1583;46.4195;16.6914
2018;Blé dur/Orge;YD16QH;777;57.9407;11.4982
2018;Blé tendre;%MOIS;3417;15.76;2.4217
2018;Blé tendre;YD15QH;5291;92.9761;15.3146
2018;Blé tendre;YD16QH;3338;96.577;12.7962
2018;Colza;%MOIS;517;14.5769;1.6574
2018;Colza;YD15QH;2254;69.2757;11.6612
2018;Colza;YD16QH;326;77.7309;9.9122
2018;INCONNU_CODE_A;%MOIS;328;15.2662;1.9849
2018;INCONNU_CODE_A;YD15QH;913;63.9898;18.8594
2018;INCONNU_CODE_A;YD16QH;328;69.6873;22.964
2018;INCONNU_CODE_D;%MOIS;265;13.017;1.6898
2018;INCONNU_CODE_D;YD15QH;1161;58.7455;17.7544
2018;INCONNU_CODE_D;YD16QH;127;74.792;10.5293
2018;Soja;%MOIS;121;11.0673;0.8382
2018;Triticale;%MOIS;928;16.5262;2.3451
2018;Triticale;YD15QH;1104;74.4529;16.2612
2018;Triticale;YD16QH;928;77.1756;16.8184
