LK_SL_TRIAL_L2_DATA_ID;LK_EXPERIMENT_EXPERIMENT_ID;YEAR;SPECIES_GROUP;SPECIES;SPECIES_SPECIFICITY;ORIGIN;SL_TRIAL;REPLICATION_NUM;ENTRY_NUM;TRANSFER_APPY;TRAIT;RESULT;FIABILITY_SYSTEM;FIABILITY_EXPERIMENTAL_x;FIABILITY_EXPERIMENTAL_REASON;FIABILITY_BREEDER_x;FIABILITY_BREEDER_REASON;SPECIES_ID;SPECIES_SPECIFICITY_ID;ESPECE_FR;RESULT_NUM;REGION;DEPARTMENT;COMMUNE;LAT;LON;RESPONSIBILITY;TEAM;CULTURE_UNIT;FIABILITY_EXPERIMENTAL_y;FIABILITY_BREEDER_y;LK_STOCK_S1_DATA_ID;MAIN_NAME;PEDIGREE;STRUCTURE;P1;P2;NEXT_STAGE;SELF_NB;FGD;FHB_INO;HARVEST_DATE;None;PHOSPHATE;SOWING_DATE;SPRAY
736764;57476;2015;7;W;-;RC;WW_PL_02;1;1;0;%MOIS;18,84;;;;;;13;26;Blé tendre;18.84;;;;;;;;;;;4175;;;;;;;;;;;;;;
736764;57476;2015;7;W;-;RC;WW_PL_02;1;1;0;YD15QH;70,49;;;;;;13;26;Blé tendre;70.49;;;;;;;;;;;4175;;;;;;;;;;;;;;
736764;57476;2015;7;W;-;RC;WW_PL_02;1;1;0;YD16QH;71,3;;;;;;13;26;Blé tendre;71.3;;;;;;;;;;;4175;;;;;;;;;;;;;;
736767;57476;2015;7;W;-;RC;WW_PL_02;4;1;0;%MOIS;18,44;;;;;;13;26;Blé tendre;18.44;;;;;;;;;;;4175;;;;;;;;;;;;;;
736767;57476;2015;7;W;-;RC;WW_PL_02;4;1;0;YD15QH;79,25;;;;;;13;26;Blé tendre;79.25;;;;;;;;;;;4175;;;;;;;;;;;;;;
736767;57476;2015;7;W;-;RC;WW_PL_02;4;1;0;YD16QH;80,17;;;;;;13;26;Blé tendre;80.17;;;;;;;;;;;4175;;;;;;;;;;;;;;
736768;57476;2015;7;W;-;RC;WW_PL_02;1;2;0;%MOIS;16,74;;;;;;13;26;Blé tendre;16.74;;;;;;;;;;;317549;OPAL;WS_OPAL;FL;CUBUS/TOMMI;TORAS;;;;;;;;;
736768;57476;2015;7;W;-;RC;WW_PL_02;1;2;0;YD15QH;72,43;;;;;;13;26;Blé tendre;72.43;;;;;;;;;;;317549;OPAL;WS_OPAL;FL;CUBUS/TOMMI;TORAS;;;;;;;;;
736768;57476;2015;7;W;-;RC;WW_PL_02;1;2;0;YD16QH;73,26;;;;;;13;26;Blé tendre;73.26;;;;;;;;;;;317549;OPAL;WS_OPAL;FL;CUBUS/TOMMI;TORAS;;;;;;;;;
736766;57476;2015;7;W;-;RC;WW_PL_02;2;2;0;%MOIS;16,94;;;;;;13;26;Blé tendre;16.94;;;;;;;;;;;317549;OPAL;WS_OPAL;FL;CUBUS/TOMMI;TORAS;;;;;;;;;
736766;57476;2015;7;W;-;RC;WW_PL_02;2;2;0;YD15QH;78,62;;;;;;13;26;Blé tendre;78.62;;;;;;;;;;;317549;OPAL;WS_OPAL;FL;CUBUS/TOMMI;TORAS;;;;;;;;;
736766;57476;2015;7;W;-;RC;WW_PL_02;2;2;0;YD16QH;79,53;;;;;;13;26;Blé tendre;79.53;;;;;;;;;;;317549;OPAL;WS_OPAL;FL;CUBUS/TOMMI;TORAS;;;;;;;;;
736769;57476;2015;7;W;-;RC;WW_PL_02;3;2;0;%MOIS;16,54;;;;;;13;26;Blé tendre;16.54;;;;;;;;;;;317549;OPAL;WS_OPAL;FL;CUBUS/TOMMI;TORAS;;;;;;;;;
736769;57476;2015;7;W;-;RC;WW_PL_02;3;2;0;YD15QH;77,75;;;;;;13;26;Blé tendre;77.75;;;;;;;;;;;317549;OPAL;WS_OPAL;FL;CUBUS/TOMMI;TORAS;;;;;;;;;
736769;57476;2015;7;W;-;RC;WW_PL_02;3;2;0;YD16QH;78,64;;;;;;13;26;Blé tendre;78.64;;;;;;;;;;;317549;OPAL;WS_OPAL;FL;CUBUS/TOMMI;TORAS;;;;;;;;;
736790;57476;2015;7;W;-;RC;WW_PL_02;1;3;0;%MOIS;18,64;;;;;;13;26;Blé tendre;18.64;;;;;;;;;;;210071;;;;;;;;;;;;;;
736790;57476;2015;7;W;-;RC;WW_PL_02;1;3;0;YD15QH;76;;;;;;13;26;Blé tendre;76.0;;;;;;;;;;;210071;;;;;;;;;;;;;;
736790;57476;2015;7;W;-;RC;WW_PL_02;1;3;0;YD16QH;76,88;;;;;;13;26;Blé tendre;76.88;;;;;;;;;;;210071;;;;;;;;;;;;;;
736795;57476;2015;7;W;-;RC;WW_PL_02;2;3;0;%MOIS;18,34;;;;;;13;26;Blé tendre;18.34;;;;;;;;;;;210071;;;;;;;;;;;;;;
736795;57476;2015;7;W;-;RC;WW_PL_02;2;3;0;YD15QH;90,86;;;;;;13;26;Blé tendre;90.86;;;;;;;;;;;210071;;;;;;;;;;;;;;
736795;57476;2015;7;W;-;RC;WW_PL_02;2;3;0;YD16QH;91,91;;;;;;13;26;Blé tendre;91.91;;;;;;;;;;;210071;;;;;;;;;;;;;;
736792;57476;2015;7;W;-;RC;WW_PL_02;4;3;0;%MOIS;18,74;;;;;;13;26;Blé tendre;18.74;;;;;;;;;;;210071;;;;;;;;;;;;;;
736792;57476;2015;7;W;-;RC;WW_PL_02;4;3;0;YD15QH;88,25;;;;;;13;26;Blé tendre;88.25;;;;;;;;;;;210071;;;;;;;;;;;;;;
736792;57476;2015;7;W;-;RC;WW_PL_02;4;3;0;YD16QH;89,27;;;;;;13;26;Blé tendre;89.27;;;;;;;;;;;210071;;;;;;;;;;;;;;
736791;57476;2015;7;W;-;RC;WW_PL_02;1;4;0;%MOIS;17,54;;;;;;13;26;Blé tendre;17.54;;;;;;;;;;;317528;;;;;;;;;;;;;;
736791;57476;2015;7;W;-;RC;WW_PL_02;1;4;0;YD15QH;82,95;;;;;;13;26;Blé tendre;82.95;;;;;;;;;;;317528;;;;;;;;;;;;;;
736791;57476;2015;7;W;-;RC;WW_PL_02;1;4;0;YD16QH;83,92;;;;;;13;26;Blé tendre;83.92;;;;;;;;;;;317528;;;;;;;;;;;;;;
736799;57476;2015;7;W;-;RC;WW_PL_02;1;5;0;%MOIS;17,74;;;;;;13;26;Blé tendre;17.74;;;;;;;;;;;210065;;;;;;;;;;;;;;
736799;57476;2015;7;W;-;RC;WW_PL_02;1;5;0;YD15QH;83,87;;;;;;13;26;Blé tendre;83.87;;;;;;;;;;;210065;;;;;;;;;;;;;;
736799;57476;2015;7;W;-;RC;WW_PL_02;1;5;0;YD16QH;84,84;;;;;;13;26;Blé tendre;84.84;;;;;;;;;;;210065;;;;;;;;;;;;;;
