ESPECE_FR;TRAIT;count;mean;median;std;min;max;q25;q75
Blé dur/Orge;%MOIS;3578;14.6144;14.14;2.2613;5.44;30.44;13.34;15.54
Blé dur/Orge;LOD1;2130;6.3062;5.24;2.425;2.24;11.24;4.24;8.24
Blé dur/Orge;MT_DAT;34;193.1224;192.24;2.2124;190.24;200.24;191.24;194.24
Blé dur/Orge;YD15QH;7240;46.3072;48.095;16.2952;2.24;90.23;34.02;58.405
Blé dur/Orge;YD16QH;3578;55.4002;56.285;13.068;2.48;91.28;47.22;64.8175
Blé tendre;%MOIS;16791;16.7254;16.54;2.3061;2.24;34.14;15.24;17.74
Blé tendre;LOD1;7854;3.9756;3.24;1.5657;3.24;11.24;3.24;4.24
Blé tendre;MT_DAT;54;6.7956;6.24;1.6214;4.24;10.24;5.24;8.24
Blé tendre;YD15QH;23312;92.181;93.79;22.6437;2.24;166.62;78.0875;108.08
Blé tendre;YD16QH;11213;100.2119;100.85;18.0408;2.24;164.83;88.35;112.71
Colza;%MOIS;3190;14.981;14.84;1.6149;8.84;23.14;14.04;15.84
Colza;CT;2348;5.4504;4.24;2.4115;3.24;11.24;3.24;6.24
Colza;LOD1;2135;5.1503;4.24;2.3841;3.24;11.24;3.24;6.24
Colza;YD15QH;11388;72.8262;70.07;35.0755;3.19;843.94;58.34;83.82
Colza;YD16QH;2462;74.3181;74.565;18.9201;26.19;132.31;57.3725;89.385
INCONNU_CODE_A;%MOIS;998;16.3095;16.34;2.8623;7.94;27.54;14.34;17.415
INCONNU_CODE_A;CT;833;4.8871;4.24;1.9576;3.24;11.24;3.24;6.24
INCONNU_CODE_A;LOD1;1026;6.0987;4.24;3.2065;3.24;11.24;3.24;9.24
INCONNU_CODE_A;MT_DAT;419;21868.3784;42231.24;21306.57;226.24;43325.24;230.24;42600.24
INCONNU_CODE_A;YD15QH;3161;71.3608;70.34;20.3369;18.62;146.54;56.49;83.8
INCONNU_CODE_A;YD16QH;998;73.3995;71.82;20.5903;27.1;148.26;61.8375;81.0625
INCONNU_CODE_D;%MOIS;910;13.8676;13.64;1.5361;9.44;21.84;12.84;14.64
INCONNU_CODE_D;LOD1;2054;4.5862;3.24;2.3037;2.24;11.24;3.24;5.24
INCONNU_CODE_D;YD15QH;5006;66.4979;69.14;18.0694;1.39;121.73;57.75;78.16
INCONNU_CODE_D;YD16QH;652;75.0141;77.03;14.496;19.29;107.4;68.685;83.885
INCONNU_CODE_F;%MOIS;227;16.2673;17.04;2.4988;11.04;19.94;14.09;18.44
INCONNU_CODE_F;CT;176;5.4445;4.24;2.4873;3.24;11.24;3.24;7.24
INCONNU_CODE_F;LOD1;47;10.8145;11.24;0.5415;9.24;11.24;10.24;11.24
INCONNU_CODE_F;YD15QH;417;32.4108;31.63;10.467;4.5;60.74;24.76;39.1
INCONNU_CODE_F;YD16QH;227;37.4533;36.73;9.0793;19.04;61.44;30.785;43.255
Soja;%MOIS;2378;14.7584;14.34;4.0294;8.14;47.54;11.94;16.615
Soja;LOD1;2135;4.9526;4.24;2.1802;3.24;11.24;3.24;5.24
Soja;MT_DAT;1960;268.7573;269.24;11.4089;238.24;300.24;261.24;276.24
Soja;YD16QH;2007;45.6256;46.24;11.0756;7.21;88.93;38.265;53.505
Triticale;%MOIS;3305;15.8548;15.94;2.1813;2.24;26.14;14.54;17.34
Triticale;LOD1;2258;4.9729;4.24;2.4049;2.24;11.24;3.24;6.24
Triticale;YD15QH;4744;79.3211;77.455;20.6096;2.24;149.57;63.9225;93.99
Triticale;YD16QH;3113;84.2673;83.87;19.3515;2.24;145.04;68.94;98.63
