MAIN_NAME;ESPECE_FR;TRAIT;count;mean;std
11WC0578:[M]@.0006.[1006]@.;Blé tendre;YD16QH;3;131.6033;6.8845
11WC0578:[M]@.0006.[1006]@.;Blé tendre;YD15QH;3;130.0867;6.8037
RT14053;Triticale;YD15QH;3;128.24;13.9544
08PD1127:@.0016.@.;Blé tendre;YD16QH;3;127.33;4.2161
08PD1127:@.0016.@.;Blé tendre;YD15QH;3;125.8567;4.1667
RGT_KNIGHTSBRIDGE;Blé tendre;YD16QH;8;124.485;6.1375
RGT_KNIGHTSBRIDGE;Blé tendre;YD15QH;8;123.0488;6.0663
RGT_MARINER;Blé tendre;YD15QH;5;122.45;23.6768
RW61602;Blé tendre;YD15QH;5;117.712;14.384
RGT_SILVERWING;Blé tendre;YD16QH;4;117.1675;4.5457
RW21304;Blé tendre;YD15QH;3;116.88;4.6027
RW41545;Blé tendre;YD15QH;6;116.7833;11.3529
RW41523;Blé tendre;YD15QH;5;115.926;28.495
RGT_SILVERWING;Blé tendre;YD15QH;4;115.8125;4.4964
10WC0425:@.$1.0246.0006.0001.@.;Blé tendre;YD15QH;3;115.4467;38.1665
LGBB13W041;Colza;YD15QH;3;114.8367;17.5375
13WC0145:@.$1.0069.0005.@.;Blé tendre;YD16QH;3;113.8633;16.0504
RW11635;Blé tendre;YD16QH;3;113.7867;6.7533
11WC0020:@.$2.0348.0006.@.;Blé tendre;YD16QH;4;112.975;10.7629
KWS HUCKERBY;Blé tendre;YD16QH;3;112.91;6.4692
