LK_SL_TRIAL_L2_DATA_ID;LK_EXPERIMENT_EXPERIMENT_ID;YEAR;SPECIES_GROUP;SPECIES;SPECIES_SPECIFICITY;ORIGIN;SL_TRIAL;REPLICATION_NUM;ENTRY_NUM;TRANSFER_APPY;TRAIT;RESULT;FIABILITY_SYSTEM;FIABILITY_EXPERIMENTAL;FIABILITY_EXPERIMENTAL_REASON;FIABILITY_BREEDER;FIABILITY_BREEDER_REASON;SPECIES_ID;SPECIES_SPECIFICITY_ID;QUALITY_REASON
613111;53684;2015.0;7;O;H;RC;OR_FA_02;1;1;1;YD15QH;843,94;;;;;;8;80;invalid_value
613117;53684;2015.0;7;O;H;RC;OR_FA_02;2;1;1;YD15QH;793,94;;;;;;8;80;invalid_value
613116;53684;2015.0;7;O;H;RC;OR_FA_02;2;2;1;YD15QH;768,94;;;;;;8;80;invalid_value
613119;53684;2015.0;7;O;H;RC;OR_FA_02;1;3;1;YD15QH;768,94;;;;;;8;80;invalid_value
613113;53684;2015.0;7;O;H;RC;OR_FA_02;2;3;1;YD15QH;777,24;;;;;;8;80;invalid_value
613170;53684;2015.0;7;O;H;RC;OR_FA_02;1;4;1;YD15QH;752,24;;;;;;8;80;invalid_value
613175;53684;2015.0;7;O;H;RC;OR_FA_02;2;4;1;YD15QH;818,94;;;;;;8;80;invalid_value
613174;53684;2015.0;7;O;H;RC;OR_FA_02;1;5;1;YD15QH;618,94;;;;;;8;80;invalid_value
613172;53684;2015.0;7;O;H;RC;OR_FA_02;2;5;1;YD15QH;660,54;;;;;;8;80;invalid_value
613177;53684;2015.0;7;O;H;RC;OR_FA_02;2;6;1;YD15QH;718,94;;;;;;8;80;invalid_value
613178;53684;2015.0;7;O;H;RC;OR_FA_02;1;7;1;YD15QH;677,24;;;;;;8;80;invalid_value
613180;53684;2015.0;7;O;H;RC;OR_FA_02;1;9;1;YD15QH;643,94;;;;;;8;80;invalid_value
613185;53684;2015.0;7;O;H;RC;OR_FA_02;2;9;1;YD15QH;693,94;;;;;;8;80;invalid_value
613184;53684;2015.0;7;O;H;RC;OR_FA_02;1;10;1;YD15QH;752,24;;;;;;8;80;invalid_value
613182;53684;2015.0;7;O;H;RC;OR_FA_02;2;10;1;YD15QH;768,94;;;;;;8;80;invalid_value
613187;53684;2015.0;7;O;H;RC;OR_FA_02;2;11;1;YD15QH;768,94;;;;;;8;80;invalid_value
613189;53684;2015.0;7;O;H;RC;OR_FA_02;1;13;1;YD15QH;735,54;;;;;;8;80;invalid_value
613183;53684;2015.0;7;O;H;RC;OR_FA_02;2;13;1;YD15QH;835,54;;;;;;8;80;invalid_value
613165;53684;2015.0;7;O;H;RC;OR_FA_02;2;14;1;YD15QH;768,94;;;;;;8;80;invalid_value
613164;53684;2015.0;7;O;H;RC;OR_FA_02;1;15;1;YD15QH;693,94;;;;;;8;80;invalid_value
613162;53684;2015.0;7;O;H;RC;OR_FA_02;2;15;1;YD15QH;827,24;;;;;;8;80;invalid_value
613161;53684;2015.0;7;O;H;RC;OR_FA_02;1;16;1;YD15QH;785,54;;;;;;8;80;invalid_value
540358;6180;;7;S;-;RC;SD_BA_04;1;3;1;LOD1;3,24;;;;;;11;24;required_null
