column_name;column_type
LK_SL_TRIAL_L2_DATA_ID;BIGINT
LK_EXPERIMENT_EXPERIMENT_ID;VARCHAR
YEAR;BIGINT
SPECIES_GROUP;BIGINT
SPECIES;VARCHAR
SPECIES_SPECIFICITY;VARCHAR
ORIGIN;VARCHAR
SL_TRIAL;VARCHAR
REPLICATION_NUM;BIGINT
ENTRY_NUM;BIGINT
TRANSFER_APPY;BIGINT
TRAIT;VARCHAR
RESULT;VARCHAR
FIABILITY_SYSTEM;DOUBLE
FIABILITY_EXPERIMENTAL_x;DOUBLE
FIABILITY_EXPERIMENTAL_REASON;DOUBLE
FIABILITY_BREEDER_x;DOUBLE
FIABILITY_BREEDER_REASON;DOUBLE
SPECIES_ID;BIGINT
SPECIES_SPECIFICITY_ID;BIGINT
ESPECE_FR;VARCHAR
RESULT_NUM;DOUBLE
REGION;VARCHAR
DEPARTMENT;VARCHAR
COMMUNE;DOUBLE
LAT;DOUBLE
LON;DOUBLE
RESPONSIBILITY;VARCHAR
TEAM;VARCHAR
CULTURE_UNIT;VARCHAR
FIABILITY_EXPERIMENTAL_y;DOUBLE
FIABILITY_BREEDER_y;DOUBLE
LK_STOCK_S1_DATA_ID;VARCHAR
MAIN_NAME;VARCHAR
PEDIGREE;VARCHAR
STRUCTURE;VARCHAR
P1;VARCHAR
P2;VARCHAR
NEXT_STAGE;VARCHAR
SELF_NB;DOUBLE
FGD;VARCHAR
FHB_INO;VARCHAR
HARVEST_DATE;VARCHAR
None;VARCHAR
PHOSPHATE;VARCHAR
SOWING_DATE;VARCHAR
SPRAY;VARCHAR
