REGION;MAIN_NAME;ESPECE_FR;avg_yd;rk
BOURGOGNE;H12252-6-6-4-1;Blé dur/Orge;47.945;1
BOURGOGNE;;Blé dur/Orge;43.02;2
BOURGOGNE;H10241-3-3;Blé dur/Orge;42.21;3
BOURGOGNE;H11243-5;Blé dur/Orge;41.59;4
BRETAGNE;11TD0125:@.0020.@.;Triticale;120.33;1
BRETAGNE;11TD0140:@.0028.@.;Triticale;115.59;2
BRETAGNE;RT11011300;Triticale;114.96;3
BRETAGNE;RT16160;Triticale;113.61;4
BRETAGNE;RT16143;Triticale;109.95;5
CENTRE;RE43199;Colza;109.99;1
CENTRE;43193;Colza;103.63;2
CENTRE;41449;Colza;100.34;3
CENTRE;44453;Colza;97.04;4
CENTRE;44586;Colza;94.21;5
CHAMPAGNE-ARDENNE;44232;Colza;106.58;1
CHAMPAGNE-ARDENNE;BELINDA;Colza;102.43;2
CHAMPAGNE-ARDENNE;SOLIST;Colza;95.25;3
CHAMPAGNE-ARDENNE;PIPER;Colza;94.68;4
CHAMPAGNE-ARDENNE;45466;Colza;91.93;5
LIMOUSIN;RT17053;Triticale;97.7;1
LIMOUSIN;RT16161;Triticale;96.63;2
LIMOUSIN;RT14049;Triticale;95.38;3
LIMOUSIN;RT14077;Triticale;91.48;4
LIMOUSIN;RT16160;Triticale;80.725;5
MIDI-PYRÉNÉES;RAMDAM;Triticale;101.26;1
MIDI-PYRÉNÉES;RT16130;Triticale;82.42;2
MIDI-PYRÉNÉES;11TD0157:@.0004.@.;Triticale;82.24;3
MIDI-PYRÉNÉES;10TD0171:@.0013.-|4.@.;Triticale;79.16;4
MIDI-PYRÉNÉES;SY215373;Colza;78.68;5
NORD-PAS-DE-CALAIS;14-3097;Colza;131.73;1
NORD-PAS-DE-CALAIS;PERSEUS;Colza;127.915;2
NORD-PAS-DE-CALAIS;LGBB13W041;Colza;124.945;3
NORD-PAS-DE-CALAIS;E56710;Colza;122.52;4
NORD-PAS-DE-CALAIS;44454;Colza;122.23;5
PAYS DE LA LOIRE;RT14060;Triticale;98.52;1
PAYS DE LA LOIRE;RT16139;Triticale;97.5;2
PAYS DE LA LOIRE;RT14070;Triticale;95.52;3
PAYS DE LA LOIRE;RT16114;Triticale;88.77;4
PAYS DE LA LOIRE;KWS FIDO;Triticale;87.417;5
PICARDIE;;Colza;82.913;1
PICARDIE;45539;Colza;79.33;2
PICARDIE;45712;Colza;76.015;3
PICARDIE;45684;Colza;75.85;4
PICARDIE;45471;Colza;75.715;5
POITOU-CHARENTES;Y151281;Blé dur/Orge;77.3;1
POITOU-CHARENTES;;Blé dur/Orge;60.72;2
POITOU-CHARENTES;BLUETOOTH;Blé dur/Orge;58.253;3
POITOU-CHARENTES;RLP101395;Blé dur/Orge;47.98;4
POITOU-CHARENTES;RLP120595;Blé dur/Orge;35.13;5
ÎLE-DE-FRANCE;AUGUSTA;Colza;768.94;1
ÎLE-DE-FRANCE;SY613003;Colza;677.24;2
ÎLE-DE-FRANCE;;Colza;515.127;3
;11WC0094:[A]@.$2.0392.0005.@.;Blé tendre;155.27;1
;11WC0105:[A]@.$2.0179.0003.@.;Blé tendre;154.21;2
;11WC0028:@.$2.0472.0003.@.;Blé tendre;148.61;3
;11WC0093:[A]@.$2.0136.0001.@.;Blé tendre;147.11;4
;11WC0099:[A]@.$2.0637.0003.@.;Blé tendre;146.22;5
