ESPECE_FR;YEAR;nb_mesures;rendement_moyen;ecart_type;min_val;max_val
Blé tendre;2015;6155;99.678;21.912;26.41;166.62
Colza;2015;3613;84.139;56.184;3.19;843.94
Triticale;2015;1171;83.589;23.75;2.24;149.57
A;2015;484;76.802;15.072;42.24;116.24
D;2015;1510;72.15;13.389;19.86;111.41
Blé dur/Orge;2015;1549;53.512;11.429;11.45;87.69
F;2015;257;31.449;12.007;4.5;60.74
Triticale;2016;1208;79.231;21.923;13.01;134.96
Blé tendre;2016;5517;78.92;29.237;2.24;147.18
A;2016;792;67.067;12.65;18.62;98.91
Colza;2016;3023;63.238;16.141;4.37;115.14
D;2016;1099;61.724;22.311;1.39;121.73
Blé dur/Orge;2016;2177;37.295;17.894;2.48;90.23
Blé tendre;2017;6349;95.774;16.077;31.41;150.8
Triticale;2017;1261;79.705;18.585;31.78;131.76
A;2017;972;79.074;25.063;20.29;146.54
Colza;2017;2498;71.271;17.205;15.57;122.24
D;2017;1236;71.119;15.11;12.41;109.19
Blé dur/Orge;2017;1931;50.596;12.253;12.6;85.35
F;2017;160;33.956;7.115;18.84;56.67
Blé tendre;2018;5291;92.976;15.315;35.21;147.16
Triticale;2018;1104;74.453;16.261;22.41;114.23
Colza;2018;2254;69.276;11.661;10.25;109.04
A;2018;913;63.99;18.859;18.97;117.98
D;2018;1161;58.746;17.754;8.45;98.31
Blé dur/Orge;2018;1583;46.42;16.691;2.24;86.75
