MAIN_NAME;ESPECE_FR;nb_essais;rendement_moyen;variabilite
RGT_KNIGHTSBRIDGE;Blé tendre;3;123.767;5.942
RGT_MARINER;Blé tendre;4;120.688;21.612
RW41545;Blé tendre;4;117.394;10.489
RW41523;Blé tendre;4;115.772;25.489
RW61602;Blé tendre;4;114.933;14.555
RW41572;Blé tendre;3;110.972;32.929
RW41709;Blé tendre;5;110.349;5.376
RT14060;Triticale;4;110.182;10.517
44454;Colza;3;108.952;19.31
REVELATION;Blé tendre;15;107.355;17.449
R15252A;A;3;107.254;26.191
10TD0244:@.$2.0133.@.;Triticale;4;106.381;15.333
RW41540;Blé tendre;6;106.205;21.52
10WL0139:@.@.$1.0025.0004.@.;Blé tendre;3;106.19;13.554
44586;Colza;3;105.008;21.161
44232;Colza;3;104.698;11.943
SKYFALL;Blé tendre;84;104.67;16.224
44682;Colza;3;104.15;18.028
RGT_SAKI;Blé tendre;13;103.832;19.996
RW21515;Blé tendre;6;103.662;12.946
