REGION;ESPECE_FR;TRAIT;nb_essais;avg_val;mediane
PICARDIE;Blé dur/Orge;%MOIS;2;16.239;16.64
POITOU-CHARENTES;Blé dur/Orge;%MOIS;2;15.727;15.44
CHAMPAGNE-ARDENNE;Blé dur/Orge;%MOIS;11;15.36;14.24
BOURGOGNE;Blé dur/Orge;%MOIS;2;14.711;14.74
CENTRE;Blé dur/Orge;%MOIS;13;14.179;13.94
POITOU-CHARENTES;Blé dur/Orge;LOD1;2;8.711;10.24
CENTRE;Blé dur/Orge;LOD1;34;6.525;6.24
POITOU-CHARENTES;Blé dur/Orge;YD15QH;2;60.113;66.53
CHAMPAGNE-ARDENNE;Blé dur/Orge;YD15QH;11;53.535;53.4
PICARDIE;Blé dur/Orge;YD15QH;3;50.469;52.795
BOURGOGNE;Blé dur/Orge;YD15QH;2;43.148;42.69
CENTRE;Blé dur/Orge;YD15QH;68;37.46;36.17
POITOU-CHARENTES;Blé dur/Orge;YD16QH;2;60.802;67.29
CHAMPAGNE-ARDENNE;Blé dur/Orge;YD16QH;11;54.146;54.0
PICARDIE;Blé dur/Orge;YD16QH;2;51.365;55.45
CENTRE;Blé dur/Orge;YD16QH;13;50.573;53.165
BOURGOGNE;Blé dur/Orge;YD16QH;2;43.635;43.175
PICARDIE;Colza;%MOIS;5;15.876;16.54
CHAMPAGNE-ARDENNE;Colza;%MOIS;19;15.176;15.24
NORD-PAS-DE-CALAIS;Colza;%MOIS;4;15.163;13.94
CENTRE;Colza;%MOIS;16;14.827;14.84
BRETAGNE;Colza;%MOIS;1;14.472;14.49
NORD-PAS-DE-CALAIS;Colza;CT;54;6.053;5.24
ÎLE-DE-FRANCE;Colza;CT;1;3.24;3.24
NORD-PAS-DE-CALAIS;Colza;LOD1;24;6.676;6.24
ÎLE-DE-FRANCE;Colza;LOD1;1;4.89;4.74
PICARDIE;Colza;LOD1;2;4.431;4.24
BRETAGNE;Colza;LOD1;1;4.195;3.24
CENTRE;Colza;LOD1;19;4.141;3.24
MIDI-PYRÉNÉES;Colza;LOD1;1;3.24;3.24
ÎLE-DE-FRANCE;Colza;YD15QH;2;528.124;706.44
PICARDIE;Colza;YD15QH;5;82.153;79.24
NORD-PAS-DE-CALAIS;Colza;YD15QH;81;81.952;81.06
BRETAGNE;Colza;YD15QH;1;76.037;75.055
CENTRE;Colza;YD15QH;57;71.516;70.9
CHAMPAGNE-ARDENNE;Colza;YD15QH;34;65.609;61.72
MIDI-PYRÉNÉES;Colza;YD15QH;19;54.874;55.12
PICARDIE;Colza;YD16QH;5;83.105;80.16
BRETAGNE;Colza;YD16QH;1;76.915;75.925
CENTRE;Colza;YD16QH;15;76.906;76.84
NORD-PAS-DE-CALAIS;Colza;YD16QH;4;67.321;67.485
CHAMPAGNE-ARDENNE;Colza;YD16QH;6;62.55;53.69
TOLNA;Soja;%MOIS;3;19.399;18.84
BOURGOGNE;Soja;%MOIS;5;15.72;18.24
AQUITAINE;Soja;%MOIS;3;15.602;15.54
CENTRE;Soja;%MOIS;6;15.508;16.14
BARANYA;Soja;%MOIS;2;15.443;16.49
RHÔNE-ALPES;Soja;%MOIS;6;15.2;15.24
ALSACE;Soja;%MOIS;4;15.198;14.74
MIDI-PYRÉNÉES;Soja;%MOIS;40;13.737;12.94
GYOR-MOSON-SOPRON;Soja;%MOIS;1;13.617;11.64
BARANYA;Soja;LOD1;1;7.927;8.24
ALSACE;Soja;LOD1;4;5.784;5.54
MIDI-PYRÉNÉES;Soja;LOD1;38;5.203;4.24
BOURGOGNE;Soja;LOD1;5;5.063;3.24
RHÔNE-ALPES;Soja;LOD1;6;4.295;3.24
TOLNA;Soja;LOD1;3;3.754;3.24
CENTRE;Soja;LOD1;5;3.585;3.24
AQUITAINE;Soja;LOD1;2;3.475;3.24
GYOR-MOSON-SOPRON;Soja;LOD1;1;3.24;3.24
AQUITAINE;Soja;MT_DAT;3;274.068;273.24
MIDI-PYRÉNÉES;Soja;MT_DAT;38;273.119;274.24
GYOR-MOSON-SOPRON;Soja;MT_DAT;1;260.907;260.24
RHÔNE-ALPES;Soja;MT_DAT;6;259.602;261.24
BOURGOGNE;Soja;MT_DAT;5;258.177;256.24
ALSACE;Soja;MT_DAT;4;258.12;257.24
CENTRE;Soja;MT_DAT;3;252.592;251.24
TOLNA;Soja;YD16QH;3;56.709;55.675
ALSACE;Soja;YD16QH;3;54.774;55.85
RHÔNE-ALPES;Soja;YD16QH;4;53.705;53.935
AQUITAINE;Soja;YD16QH;2;46.911;45.74
MIDI-PYRÉNÉES;Soja;YD16QH;38;45.399;45.5
BOURGOGNE;Soja;YD16QH;2;44.112;44.07
BARANYA;Soja;YD16QH;2;39.884;39.665
CENTRE;Soja;YD16QH;6;39.51;39.89
GYOR-MOSON-SOPRON;Soja;YD16QH;1;29.716;30.36
MIDI-PYRÉNÉES;Triticale;%MOIS;13;17.412;18.14
BRETAGNE;Triticale;%MOIS;23;15.859;15.84
NORD-PAS-DE-CALAIS;Triticale;%MOIS;1;15.227;15.24
PAYS DE LA LOIRE;Triticale;%MOIS;5;15.091;14.74
LIMOUSIN;Triticale;%MOIS;8;15.028;14.84
PAYS DE LA LOIRE;Triticale;LOD1;3;6.649;5.74
LIMOUSIN;Triticale;LOD1;3;6.099;5.24
MIDI-PYRÉNÉES;Triticale;LOD1;17;5.212;4.24
BRETAGNE;Triticale;LOD1;7;4.27;3.24
NORD-PAS-DE-CALAIS;Triticale;LOD1;2;4.05;3.24
BRETAGNE;Triticale;YD15QH;23;90.238;93.13
PAYS DE LA LOIRE;Triticale;YD15QH;8;86.92;85.59
LIMOUSIN;Triticale;YD15QH;8;78.959;80.77
NORD-PAS-DE-CALAIS;Triticale;YD15QH;3;78.77;67.76
MIDI-PYRÉNÉES;Triticale;YD15QH;33;62.995;63.78
NORD-PAS-DE-CALAIS;Triticale;YD16QH;1;112.721;112.965
BRETAGNE;Triticale;YD16QH;23;91.286;94.21
PAYS DE LA LOIRE;Triticale;YD16QH;5;89.202;86.93
LIMOUSIN;Triticale;YD16QH;8;79.872;81.7
MIDI-PYRÉNÉES;Triticale;YD16QH;11;66.021;66.74
