YEAR;ESPECE_FR;nb_essais;rendement_moyen;delta_annuel
2015;A;25;76.802;
2016;A;32;67.067;-9.735
2017;A;41;79.074;12.007
2018;A;42;63.99;-15.084
2015;Blé dur/Orge;55;53.512;
2016;Blé dur/Orge;88;37.295;-16.217
2017;Blé dur/Orge;65;50.596;13.3
2018;Blé dur/Orge;59;46.42;-4.176
2015;Blé tendre;184;99.678;
2016;Blé tendre;189;78.92;-20.758
2017;Blé tendre;209;95.774;16.854
2018;Blé tendre;173;92.976;-2.798
2015;Colza;138;84.139;
2016;Colza;116;63.238;-20.901
2017;Colza;98;71.271;8.033
2018;Colza;88;69.276;-1.995
2015;D;62;72.15;
2016;D;40;61.724;-10.426
2017;D;48;71.119;9.394
2018;D;42;58.746;-12.373
2015;F;6;31.449;
2017;F;4;33.956;2.507
2015;Triticale;41;83.589;
2016;Triticale;41;79.231;-4.358
2017;Triticale;37;79.705;0.474
2018;Triticale;30;74.453;-5.252
