ESPECE_FR;YEAR;nb_essais_total;nb_essais_avec_resultat;taux_completion_pct
A;2018;42;42;100.0
Blé dur/Orge;2018;60;60;100.0
Blé tendre;2018;176;176;100.0
Colza;2018;88;88;100.0
D;2018;49;49;100.0
Tournesol;2018;7;7;100.0
Triticale;2018;30;30;100.0
A;2017;41;41;100.0
Blé dur/Orge;2017;65;65;100.0
Blé tendre;2017;214;214;100.0
Colza;2017;98;98;100.0
D;2017;48;48;100.0
F;2017;4;4;100.0
Tournesol;2017;55;55;100.0
Triticale;2017;37;37;100.0
A;2016;32;32;100.0
Blé dur/Orge;2016;88;88;100.0
Blé tendre;2016;190;190;100.0
Colza;2016;116;116;100.0
D;2016;41;41;100.0
Tournesol;2016;47;47;100.0
Triticale;2016;41;41;100.0
A;2015;25;25;100.0
Blé dur/Orge;2015;55;55;100.0
Blé tendre;2015;184;184;100.0
Colza;2015;138;138;100.0
D;2015;62;62;100.0
F;2015;6;6;100.0
Tournesol;2015;35;35;100.0
Triticale;2015;41;41;100.0
Tournesol;;1;1;100.0
