experiment_id;lat;lon;region;species;data_source;ndvi;temperature;timestamp
58559;50.6555;2.95212;NORD-PAS-DE-CALAIS;Colza;DRONE_SIM;0.524;18.2;2026-07-31T12:06:02.444355
58542;50.6555;2.95212;NORD-PAS-DE-CALAIS;Colza;DRONE_SIM;0.471;26.3;2026-07-31T12:06:02.444355
58521;50.6555;2.95212;NORD-PAS-DE-CALAIS;Colza;DRONE_SIM;0.459;11.5;2026-07-31T12:06:02.444355
58513;50.6555;2.95212;NORD-PAS-DE-CALAIS;Colza;DRONE_SIM;0.762;20.9;2026-07-31T12:06:02.444912
58576;50.6555;2.95212;NORD-PAS-DE-CALAIS;Colza;DRONE_SIM;0.445;21.2;2026-07-31T12:06:02.444912
58580;50.6555;2.95212;NORD-PAS-DE-CALAIS;Colza;DRONE_SIM;0.444;20.3;2026-07-31T12:06:02.444912
58537;48.32784;1.78821;CENTRE;Colza;DRONE_SIM;0.475;19.6;2026-07-31T12:06:02.444912
58536;48.32784;1.78821;CENTRE;Colza;DRONE_SIM;0.533;15.4;2026-07-31T12:06:02.444912
58419;49.06227;4.43092;CHAMPAGNE-ARDENNE;Colza;DRONE_SIM;0.402;9.4;2026-07-31T12:06:02.446198
58501;50.6555;2.95212;NORD-PAS-DE-CALAIS;Colza;DRONE_SIM;0.526;10.4;2026-07-31T12:06:02.443807
58558;50.6555;2.95212;NORD-PAS-DE-CALAIS;Colza;DRONE_SIM;0.513;11.1;2026-07-31T12:06:02.443807
58549;50.6555;2.95212;NORD-PAS-DE-CALAIS;Colza;DRONE_SIM;0.735;12.8;2026-07-31T12:06:02.444355
58512;50.6555;2.95212;NORD-PAS-DE-CALAIS;Colza;DRONE_SIM;0.678;19.0;2026-07-31T12:06:02.444355
58582;50.6555;2.95212;NORD-PAS-DE-CALAIS;Colza;DRONE_SIM;0.311;21.8;2026-07-31T12:06:02.444912
58409;48.32784;1.78821;CENTRE;Colza;DRONE_SIM;0.351;19.2;2026-07-31T12:06:02.444912
58422;49.06227;4.43092;CHAMPAGNE-ARDENNE;Colza;DRONE_SIM;0.416;26.7;2026-07-31T12:06:02.445637
58421;48.32784;1.78821;CENTRE;Colza;DRONE_SIM;0.446;11.6;2026-07-31T12:06:02.445637
58429;48.32784;1.78821;CENTRE;Colza;DRONE_SIM;0.335;11.9;2026-07-31T12:06:02.445637
58410;49.06227;4.43092;CHAMPAGNE-ARDENNE;Colza;DRONE_SIM;0.454;22.4;2026-07-31T12:06:02.445637
58489;49.06227;4.43092;CHAMPAGNE-ARDENNE;Colza;DRONE_SIM;0.417;11.3;2026-07-31T12:06:02.446198
